id_employee,name_prefix,first_name,middle_initial,last_name,gender,date_of_birth,weight_kg,ssn
526540,Ms.,Angelique,K,Goodwin,F,1964-05-15,56,471-57-0359
859327,Ms.,Jeni,S,Shaffer,F,1962-01-13,54,624-85-4146
887387,Ms.,Donald,T,Farris,F,1958-11-04,40,097-02-3315
779497,Hon.,Steven,D,Rendon,M,1982-04-04,81,134-98-6566
896517,Drs.,Jenell,L,Almanza,F,1958-01-07,47,599-92-7345
220965,Mrs.,Almeta,Y,Brookins,F,1985-08-05,41,109-98-3095
721091,Prof.,Bobbie,E,Branson,M,1996-10-02,71,047-15-8435
633636,Prof.,Bertram,R,Carlisle,M,1982-12-31,61,257-99-3865
823898,Prof.,Carlton,E,Leclair,M,1986-03-17,56,044-15-4027
413865,Mr.,Todd,R,Slater,M,1995-09-06,58,553-99-2106
439483,Mr.,Adalberto,K,Hazel,M,1959-08-12,66,264-99-9423
809408,Mr.,Seymour,B,Nelson,M,1996-01-21,63,119-98-1796
748190,Mr.,Vicente,D,Dawkins,M,1994-06-17,62,116-98-6696
397283,Mr.,Rex,Q,Ng,M,1982-08-22,68,192-86-7823
553684,Drs.,Arlena,I,Clough,F,1957-10-15,48,032-92-6090
495667,Mr.,Cory,H,Clarke,M,1980-02-06,89,731-28-8642
936158,Mrs.,Sofia,Y,Poole,F,1964-03-12,43,126-98-9929
537591,Dr.,Samuel,G,Wendt,M,1976-11-25,72,369-39-1426
909018,Mr.,Virgil,R,Trowbridge,M,1986-06-04,73,005-13-9026
878666,Ms.,Elda,Y,Champagne,F,1983-05-21,50,540-83-9723
995710,Mr.,Robert,G,Guinn,M,1972-06-14,67,403-73-1584
511059,Prof.,Humberto,W,Sauer,M,1989-11-04,66,210-84-3620
754455,Mrs.,Anastasia,N,Childers,F,1988-12-20,42,753-07-4603
489275,Ms.,Collene,O,Kidd,F,1965-02-25,50,704-18-2387
500905,Hon.,Harris,Z,Beavers,M,1970-09-14,87,008-94-7794
984409,Ms.,Kathe,B,John,F,1992-06-15,45,444-27-9644
812053,Ms.,Ashly,E,Stanton,F,1992-12-13,52,385-37-9974
550206,Mr.,Geraldo,E,Easley,M,1974-03-28,82,556-99-1014
728053,Mr.,Leigh,R,Fite,M,1967-07-16,81,548-99-7981
184257,Ms.,Devon,I,Knox,F,1979-03-24,50,344-11-4272
235295,Ms.,Yevette,D,Mullis,F,1972-08-04,54,031-92-8075
767674,Mrs.,Irena,Z,Dang,F,1972-01-22,49,636-31-2014
391837,Mr.,Cory,L,Hayden,M,1966-07-20,66,109-98-9846
466560,Hon.,Dolores,A,Begley,F,1981-12-16,58,019-94-6803
900756,Mr.,Benjamin,O,Doss,M,1984-01-06,68,607-87-2621
678628,Hon.,Theron,I,Farmer,M,1969-05-16,80,430-99-8830
492527,Mr.,Hilton,N,Mcgehee,M,1986-07-26,65,042-15-4369
886060,Ms.,Sixta,J,Beaudoin,F,1975-04-03,45,399-31-6070
366431,Ms.,Sade,U,Shay,F,1994-06-12,42,693-16-3108
331297,Mrs.,Shemika,E,Beckman,F,1967-10-18,46,625-85-6937
496541,Mr.,Winfred,X,Gonzales,M,1964-10-03,76,466-99-0813
654617,Mr.,Rogelio,Z,Woodall,M,1972-12-19,87,218-89-5439
163409,Mr.,Damion,C,Rafferty,M,1974-10-27,60,235-57-9815
299088,Mr.,Dannie,I,Catron,M,1979-04-20,86,073-02-8837
961442,Hon.,Stephan,M,Titus,M,1968-07-03,61,235-57-1721
155097,Mr.,Dorian,J,Sage,M,1970-07-27,59,553-99-7803
976422,Mr.,Jake,W,Espinal,M,1959-01-19,71,594-99-8803
138911,Mr.,Claudio,L,Heck,M,1967-09-28,74,366-39-9069
160938,Prof.,Marcel,X,Trotter,M,1985-01-02,78,763-12-7919
399707,Prof.,Dillon,Y,Dominguez,M,1963-10-22,87,285-15-0592
713294,Mr.,Sammy,Y,Dewitt,M,1988-01-24,89,729-28-6911
627298,Mr.,Sterling,A,Serna,M,1985-04-15,81,512-33-9199
709884,Mrs.,Ivonne,K,Manning,F,1977-09-13,50,609-87-3514
932773,Hon.,Clair,E,Harwell,M,1968-11-08,87,626-85-0761
796605,Ms.,Jenni,A,Goolsby,F,1971-05-13,57,250-99-6761
885395,Hon.,Tayna,K,Poston,F,1958-01-15,58,714-18-2827
411503,Prof.,Vern,F,Mackenzie,M,1982-03-07,73,234-57-0893
622405,Mr.,Harrison,X,Hawk,M,1962-07-19,67,592-99-9799
